Date,Groundtruth,Predict
2024-02-10,1,1
2024-02-11,1,1
2024-02-12,1,1
2024-02-13,1,1
2024-02-14,1,1
2024-02-15,1,1
2024-02-16,1,1
2024-02-17,1,1
2024-02-18,1,1
2024-02-19,1,1
2024-02-20,1,1
2024-02-21,1,1
2024-02-22,1,1
2024-02-23,1,1
2024-02-24,1,1
2024-02-25,1,1
2024-02-26,1,1
2024-02-27,1,1
2024-02-28,1,1
2024-02-29,1,1
2024-03-01,1,1
2024-03-02,1,1
2024-03-03,1,1
2024-03-04,1,1
2024-03-05,1,1
2024-03-06,1,1
2024-03-07,1,1
2024-03-08,1,1
2024-03-09,1,1
2024-03-10,1,1
2024-03-11,1,1
2024-03-12,1,1
2024-03-13,1,1
2024-03-14,1,1
2024-03-15,1,1
2024-03-16,1,1
2024-03-17,1,1
2024-03-18,1,1
2024-03-19,1,1
2024-03-20,1,1
2024-03-21,1,1
2024-03-22,0,1
2024-03-23,0,0
2024-03-24,0,0
2024-03-25,0,0
2024-03-26,0,0
2024-03-27,0,0
2024-03-28,0,0
2024-03-29,0,0
2024-03-30,0,0
2024-03-31,0,0
2024-04-01,0,0
2024-04-02,0,0
2024-04-03,0,0
2024-04-04,0,0
2024-04-05,0,0
2024-04-06,0,0
2024-04-07,0,0
2024-04-08,0,0
2024-04-09,0,0
2024-04-10,0,0
2024-04-11,0,0
2024-04-12,0,0
2024-04-13,0,0
2024-04-14,0,0
2024-04-15,0,0
2024-04-16,0,0
2024-04-17,0,0
2024-04-18,0,0
2024-04-19,0,0
2024-04-20,0,0
2024-04-21,0,0
2024-04-22,0,0
2024-04-23,0,0
2024-04-24,0,0
2024-04-25,0,0
2024-04-26,0,0
2024-04-27,0,1
2024-04-28,0,0
2024-04-29,0,0
2024-04-30,0,0
2024-05-01,0,0
2024-05-02,1,0
2024-05-03,1,1
2024-05-04,1,1
2024-05-05,1,1
2024-05-06,1,1
2024-05-07,1,1
2024-05-08,1,1
2024-05-09,1,1
2024-05-10,1,1
2024-05-11,1,1
2024-05-12,1,1
2024-05-13,1,1
2024-05-14,1,1
2024-05-15,1,1
2024-05-16,1,1
2024-05-17,1,1
2024-05-18,1,0
2024-05-19,1,1
2024-05-20,1,1
2024-05-21,1,1
2024-05-22,1,1
2024-05-23,1,1
2024-05-24,1,1
2024-05-25,1,1
2024-05-26,1,1
2024-05-27,1,1
2024-05-28,1,1
2024-05-29,1,1
2024-05-30,1,1
2024-05-31,1,1
2024-06-01,1,1
2024-06-02,0,1
2024-06-03,0,1
2024-06-04,0,0
2024-06-05,0,0
2024-06-06,0,0
2024-06-07,0,0
2024-06-08,0,0
2024-06-09,0,0
2024-06-10,0,0
2024-06-11,0,0
2024-06-12,0,0
2024-06-13,0,0
2024-06-14,0,0
2024-06-15,0,0
2024-06-16,0,0
2024-06-17,0,0
2024-06-18,0,0
2024-06-19,0,0
2024-06-20,0,0
2024-06-21,0,0
2024-06-22,0,0
2024-06-23,0,0
2024-06-24,0,1
2024-06-25,0,1
2024-06-26,0,1
2024-06-27,0,1
2024-06-28,0,1
2024-06-29,0,1
2024-06-30,0,1
2024-07-01,0,1
2024-07-02,0,1
2024-07-03,0,1
2024-07-04,0,0
2024-07-05,0,0
2024-07-06,0,0
2024-07-07,0,0
2024-07-08,0,0
2024-07-09,0,0
2024-07-10,0,0
2024-07-11,0,0
2024-07-12,0,0
2024-07-13,1,0
2024-07-14,1,0
